County,Registered Voters
Alamance,111105
Alexander,24968
Alleghany,7630
Anson,16735
Ashe,19570
Avery,12412
Beaufort,34102
Bertie,13373
Bladen,23073
Brunswick,114943
Buncombe,207751
Burke,58392
Cabarrus,150719
Caldwell,54808
Camden,8185
Carteret,52335
Caswell,15515
Catawba,109013
Chatham,58038
Cherokee,22701
Chowan,10346
Clay,9135
Cleveland,67858
Columbus,37131
Craven,73156
Cumberland,227571
Currituck,21859
Dare,30227
Davidson,113830
Davie,31515
Duplin,31001
Durham,245216
Edgecombe,35797
Forsyth,273103
Franklin,47749
Gaston,152194
Gates,8367
Graham,6139
Granville,40343
Greene,11378
Guilford,385007
Halifax,38078
Harnett,82539
Haywood,46496
Henderson,87715
Hertford,15053
Hoke,33376
Hyde,3171
Iredell,130936
Jackson,29812
Johnston,143845
Jones,7401
Lee,38771
Lenoir,38569
Lincoln,62727
Macon,27271
Madison,17278
Martin,16520
Mcdowell,29932
Mecklenburg,793838
Mitchell,11153
Montgomery,17068
Moore,74320
Nash,68754
New Hanover,177675
Northampton,13939
Onslow,117653
Orange,112362
Pamlico,9775
Pasquotank,28763
Pender,45057
Perquimans,9749
Person,27813
Pitt,123620
Polk,16532
Randolph,95040
Richmond,29411
Robeson,76831
Rockingham,62600
Rowan,97516
Rutherford,46022
Sampson,38091
Scotland,22084
Stanly,43047
Stokes,31995
Surry,47206
Swain,10097
Transylvania,26569
Tyrrell,2407
Union,168494
Vance,29699
Wake,795972
Warren,13535
Washington,8334
Watauga,45212
Wayne,76323
Wilkes,43957
Wilson,57383
Yadkin,24730
Yancey,14181